"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"224",23,"Utah Jazz",52,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"225",24,"Denver Nuggets",46,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"226",25,"Washington Bullets",46,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"227",26,"Seattle Supersonics",45,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"228",27,"Indiana Pacers",43,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"229",1,"Los Angeles Lakers",168,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"230",2,"Detroit Pistons",154,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"231",3,"Chicago Bulls",149,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"232",4,"New York Knicks",136,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"233",5,"Portland Trailblazers",122,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"234",6,"Cleveland Cavaliers",118,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"235",7,"Boston Celtics",117,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"236",8,"Phoenix Suns",108,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"237",9,"Charlotte Hornets",104,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"238",10,"San Antonio Spurs",100,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"239",11,"Utah Jazz",98,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"240",12,"Seattle Supersonics",96,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"241",13,"Minnesota Timberwolves",92,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"242",14,"Golden State Warriors",85,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"243",15,"Houston Rockets",84,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"244",16,"Orlando Magic",84,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"245",17,"Sacramento Kings",84,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"246",18,"Los Angeles Clippers",83,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"247",19,"Philadelphia 76ers",83,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"248",20,"Dallas Mavericks",79,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"249",21,"New Jersey Nets",79,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"250",22,"Washington Bullets",78,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"251",23,"Milwaukee Bucks",77,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"252",24,"Miami Heat",76,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"253",25,"Atlanta Hawks",72,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"254",26,"Denver Nuggets",69,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"255",27,"Indiana Pacers",67,NA,NA,NA,NA,1994,"NBATeamValues94.xls",NA,NA
"256",1,"Detroit Pistons",180,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"257",2,"New York Knicks",173,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"258",3,"Los Angeles Lakers",169,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"259",4,"Chicago Bulls",166,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"260",5,"Phoenix Suns",156,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"261",6,"Cleveland Cavaliers",133,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"262",7,"Portland Trailblazers",132,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"263",8,"Boston Celtics",127,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"264",9,"Utah Jazz",127,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"265",10,"Seattle Supersonics",119,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"266",11,"Charlotte Hornets",110,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
